Episode,Total Reward,Epsilon,Replay Buffer Size,Learn Step Counter,Times
107,223.0,0.1,15680,62380,2025-04-02 01:15:13
108,248.0,0.1,15744,62504,2025-04-02 01:15:17
109,1482.0,0.1,15936,63396,2025-04-02 01:15:45
110,777.0,0.1,16064,63912,2025-04-02 01:16:01
111,1358.0,0.1,16384,65100,2025-04-02 01:16:38
112,610.0,0.1,16448,65500,2025-04-02 01:16:50
113,772.0,0.1,16640,66108,2025-04-02 01:17:09
114,227.0,0.1,16640,66260,2025-04-02 01:17:14
115,1135.0,0.1,16832,66984,2025-04-02 01:17:37
116,250.0,0.1,16896,67108,2025-04-02 01:17:41
117,1383.0,0.1,17088,67876,2025-04-02 01:18:06
118,248.0,0.1,17088,68004,2025-04-02 01:18:10
119,666.0,0.1,17216,68356,2025-04-02 01:18:22
120,297.0,0.1,17216,68468,2025-04-02 01:18:26
121,912.0,0.1,17600,69948,2025-04-02 01:19:14
122,284.0,0.1,17600,70100,2025-04-02 01:19:19
123,242.0,0.1,17664,70244,2025-04-02 01:19:24
124,1448.0,0.1,17984,71452,2025-04-02 01:20:01
125,228.0,0.1,17984,71616,2025-04-02 01:20:06
126,249.0,0.1,18048,71744,2025-04-02 01:20:10
127,610.0,0.1,18112,72004,2025-04-02 01:20:18
128,687.0,0.1,18240,72616,2025-04-02 01:20:38
129,638.0,0.1,18432,73216,2025-04-02 01:20:59
130,840.0,0.1,18560,73760,2025-04-02 01:21:16
131,1140.0,0.1,18688,74460,2025-04-02 01:21:38
132,251.0,0.1,18752,74572,2025-04-02 01:21:41
133,1482.0,0.1,18944,75312,2025-04-02 01:22:05
134,1439.0,0.1,19136,76156,2025-04-02 01:22:32
135,671.0,0.1,19200,76444,2025-04-02 01:22:41
136,240.0,0.1,19264,76580,2025-04-02 01:22:45
137,598.0,0.1,19392,77252,2025-04-02 01:23:08
138,782.0,0.1,19520,77616,2025-04-02 01:23:19
139,247.0,0.1,19520,77736,2025-04-02 01:23:23
140,296.0,0.1,19584,77872,2025-04-02 01:23:27
141,1451.0,0.1,19712,78464,2025-04-02 01:23:46
142,299.0,0.1,19776,78584,2025-04-02 01:23:50
143,912.0,0.1,19904,79224,2025-04-02 01:24:12
144,922.0,0.1,20160,80232,2025-04-02 01:24:43
145,1138.0,0.1,20352,80948,2025-04-02 01:25:05
146,1139.0,0.1,20480,81644,2025-04-02 01:25:27
147,1093.0,0.1,20672,82216,2025-04-02 01:25:45
148,1382.0,0.1,20928,83288,2025-04-02 01:26:19
149,824.0,0.1,21056,83928,2025-04-02 01:26:38
150,1236.0,0.1,21248,84672,2025-04-02 01:27:01
151,1142.0,0.1,21440,85416,2025-04-02 01:27:25
152,1115.0,0.1,21632,86000,2025-04-02 01:27:45
153,1690.0,0.1,21952,87464,2025-04-02 01:28:31
154,1478.0,0.1,22208,88456,2025-04-02 01:29:02
155,658.0,0.1,22272,88760,2025-04-02 01:29:11
156,289.0,0.1,22336,88908,2025-04-02 01:29:16
157,291.0,0.1,22336,89036,2025-04-02 01:29:20
158,232.0,0.1,22400,89176,2025-04-02 01:29:25
159,666.0,0.1,22464,89476,2025-04-02 01:29:34
160,1486.0,0.1,22656,90284,2025-04-02 01:30:01
161,635.0,0.1,22784,90648,2025-04-02 01:30:14
162,636.0,0.1,22848,90952,2025-04-02 01:30:24
163,1039.0,0.1,23040,91632,2025-04-02 01:30:46
164,228.0,0.1,23040,91804,2025-04-02 01:30:52
165,285.0,0.1,23104,91928,2025-04-02 01:30:56
166,1042.0,0.1,23232,92480,2025-04-02 01:31:15
167,300.0,0.1,23232,92596,2025-04-02 01:31:18
168,300.0,0.1,23296,92720,2025-04-02 01:31:22
169,526.0,0.1,23488,93524,2025-04-02 01:31:47
170,247.0,0.1,23488,93636,2025-04-02 01:31:51
171,284.0,0.1,23552,93768,2025-04-02 01:31:55
172,297.0,0.1,23552,93880,2025-04-02 01:31:59
173,660.0,0.1,23680,94220,2025-04-02 01:32:09
174,1141.0,0.1,23808,94868,2025-04-02 01:32:29
175,645.0,0.1,24064,95928,2025-04-02 01:33:01
176,246.0,0.1,24128,96044,2025-04-02 01:33:04
177,1040.0,0.1,24256,96672,2025-04-02 01:33:24
178,1205.0,0.1,24448,97336,2025-04-02 01:33:43
179,643.0,0.1,24576,97872,2025-04-02 01:33:58
180,653.0,0.1,24704,98296,2025-04-02 01:34:11
181,1033.0,0.1,24896,99064,2025-04-02 01:34:34
182,1142.0,0.1,25024,99704,2025-04-02 01:34:54
183,-2903.0,0.1,25536,101840,2025-04-02 01:36:00
184,1190.0,0.1,25728,102516,2025-04-02 01:36:20
185,809.0,0.1,25920,103208,2025-04-02 01:36:42
186,1335.0,0.1,26112,103952,2025-04-02 01:37:04
187,237.0,0.1,26112,104096,2025-04-02 01:37:09
188,819.0,0.1,26240,104652,2025-04-02 01:37:25
189,710.0,0.1,26304,104940,2025-04-02 01:37:30
190,298.0,0.1,26368,105072,2025-04-02 01:37:33
191,1443.0,0.1,26560,105924,2025-04-02 01:37:53
192,686.0,0.1,26688,106252,2025-04-02 01:38:01
193,248.0,0.1,26688,106388,2025-04-02 01:38:05
194,244.0,0.1,26752,106520,2025-04-02 01:38:08
195,636.0,0.1,26816,106800,2025-04-02 01:38:16
196,1464.0,0.1,27072,107760,2025-04-02 01:38:41
197,668.0,0.1,27136,108124,2025-04-02 01:38:50
198,250.0,0.1,27136,108244,2025-04-02 01:38:53
199,299.0,0.1,27200,108360,2025-04-02 01:38:56
200,1088.0,0.1,27328,109004,2025-04-02 01:39:13
201,674.0,0.1,27456,109352,2025-04-02 01:39:22
202,280.0,0.1,27712,110420,2025-04-02 01:39:50
203,1531.0,0.1,27840,111068,2025-04-02 01:40:08
